url,length_url,length_hostname,ip,nb_dots,nb_qm,nb_eq,nb_slash,nb_www,ratio_digits_url,ratio_digits_host,tld_in_subdomain,prefix_suffix,shortest_word_host,shortest_word_path,nb_hyperlinks,domain_age,google_index,status
http://rgipt.ac.in,18,11,False,2,0,0,2,0,0.0,0.0,False,False,2,0,69,15,Indexed,legitimate
http://www.mutuo.it,19,12,False,2,0,0,2,1,0.0,0.0,False,False,2,0,12,23,Indexed,legitimate
http://rgipt.ac.in,18,11,False,2,0,0,2,0,0.0,0.0,False,False,2,0,69,15,Indexed,legitimate
http://www.mutuo.it,19,12,False,2,0,0,2,1,0.0,0.0,False,False,2,0,12,23,Indexed,legitimate
http://www.crestonwood.com/router.php,37,19,False,3,0,0,3,1,0.0,0.0,False,True,3,6,0,14,Not Indexed,legitimate
http://rgipt.ac.in,18,11,False,2,0,0,2,0,0.0,0.0,False,False,2,0,69,15,Indexed,legitimate
http://www.mutuo.it,19,12,False,2,0,0,2,1,0.0,0.0,False,False,2,0,12,23,Indexed,legitimate
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,56,22,False,3,0,0,4,1,0.0,0.0,False,True,2,13,13,None,Indexed,legitimate
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/,83,14,False,1,0,0,4,0,0.012048192771084338,0.0,False,True,3,10,175,7,Indexed,legitimate
https://www.missfiga.com/,25,16,False,2,0,0,3,1,0.0,0.0,False,True,3,0,0,8,Not Indexed,legitimate
http://wave.progressfilm.co.uk/time3/?logon=myposte,51,23,False,3,1,1,4,0,0.0196078431372549,0.0,False,True,2,5,0,13,Indexed,phishing
https://www.chiefarchitect.com/,31,22,False,2,0,0,3,1,0.0,0.0,False,True,3,0,111,25,Indexed,legitimate
http://www.ktplasmachinery.com/cs/,34,23,False,2,0,0,4,1,0.0,0.0,False,True,3,2,0,10,Not Indexed,phishing
http://www.2345daohang.com/,27,19,False,2,0,0,3,1,0.14814814814814814,0.21052631578947367,False,True,3,0,0,0,Indexed,legitimate
http://www.game.co.uk/en/games/nintendo-switch/nintendo-switch/,63,14,False,3,0,0,7,1,0.0,0.0,False,True,2,8,0,26,Indexed,legitimate
https://blog.hubspot.com/marketing/email-open-click-rate-benchmark,66,16,False,2,0,0,4,0,0.0,0.0,False,True,3,9,158,18,Indexed,legitimate
http://sophie-world.com/games/port-and-starboard,48,16,False,1,0,0,4,0,0.0,0.0,False,True,3,9,54,12,Indexed,legitimate
http://www.crestonwood.com/router.php,37,19,False,3,0,0,3,1,0.0,0.0,False,True,3,6,0,14,Not Indexed,legitimate
http://rgipt.ac.in,18,11,False,2,0,0,2,0,0.0,0.0,False,False,2,0,69,15,Indexed,legitimate
http://www.mutuo.it,19,12,False,2,0,0,2,1,0.0,0.0,False,False,2,0,12,23,Indexed,legitimate
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,56,22,False,3,0,0,4,1,0.0,0.0,False,True,2,13,13,None,Indexed,legitimate
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/,83,14,False,1,0,0,4,0,0.012048192771084338,0.0,False,True,3,10,175,7,Indexed,legitimate
https://www.missfiga.com/,25,16,False,2,0,0,3,1,0.0,0.0,False,True,3,0,0,8,Not Indexed,legitimate
http://wave.progressfilm.co.uk/time3/?logon=myposte,51,23,False,3,1,1,4,0,0.0196078431372549,0.0,False,True,2,5,0,13,Indexed,phishing
https://www.chiefarchitect.com/,31,22,False,2,0,0,3,1,0.0,0.0,False,True,3,0,111,25,Indexed,legitimate
http://www.ktplasmachinery.com/cs/,34,23,False,2,0,0,4,1,0.0,0.0,False,True,3,2,0,10,Not Indexed,phishing
http://www.2345daohang.com/,27,19,False,2,0,0,3,1,0.14814814814814814,0.21052631578947367,False,True,3,0,0,0,Indexed,legitimate
http://www.game.co.uk/en/games/nintendo-switch/nintendo-switch/,63,14,False,3,0,0,7,1,0.0,0.0,False,True,2,8,0,26,Indexed,legitimate
https://blog.hubspot.com/marketing/email-open-click-rate-benchmark,66,16,False,2,0,0,4,0,0.0,0.0,False,True,3,9,158,18,Indexed,legitimate
http://sophie-world.com/games/port-and-starboard,48,16,False,1,0,0,4,0,0.0,0.0,False,True,3,9,54,12,Indexed,legitimate
http://www.crestonwood.com/router.php,37,19,False,3,0,0,3,1,0.0,0.0,False,True,3,6,0,14,Not Indexed,legitimate
http://rgipt.ac.in,18,11,False,2,0,0,2,0,0.0,0.0,False,False,2,0,69,15,Indexed,legitimate
http://www.mutuo.it,19,12,False,2,0,0,2,1,0.0,0.0,False,False,2,0,12,23,Indexed,legitimate
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,56,22,False,3,0,0,4,1,0.0,0.0,False,True,2,13,13,None,Indexed,legitimate
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/,83,14,False,1,0,0,4,0,0.012048192771084338,0.0,False,True,3,10,175,7,Indexed,legitimate
https://www.missfiga.com/,25,16,False,2,0,0,3,1,0.0,0.0,False,True,3,0,0,8,Not Indexed,legitimate
